side,nerve,segment,function,muscle,rank,segID
L,Dorsal,thorax,swing,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346487756866
L,Dorsal,thorax,swing,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346491659326
L,Dorsal,thorax,swing,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346517437482
L,Dorsal,thorax,swing,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346517827432
L,Ventral,thorax,swing,sternal_anterior_rotator_miller_31,0,648518346479325585
L,Ventral,thorax,swing,sternal_anterior_rotator_miller_31,0,648518346487504531
L,Accessory,thorax,swing,sternal_adductor_miller_miller_in_thorax_miller_33,0,648518346486895331
L,Accessory,thorax,stance,pleural_remotor_and_abductor_miller_29,0,648518346479077839
L,Accessory,thorax,stance,pleural_remotor_and_abductor_miller_29,0,648518346489076201
L,Accessory,thorax,stance,sternal_posterior_rotator_miller_32,0,648518346490902957
L,Accessory,thorax,stance,sternal_posterior_rotator_miller_32,0,648518346489802071
L,Accessory,thorax,stance,sternal_posterior_rotator_miller_32,0,648518346478992848
L,Accessory,thorax,stance,sternal_posterior_rotator_miller_32,0,648518346488854257
L,Ventral,thorax,extend,tergotrochanter,2,648518346504856435
L,Ventral,thorax,extend,tergotrochanter,0,648518346496195084
L,Ventral,thorax,extend,tergotrochanter,3,648518346482347156
L,Ventral,thorax,extend,tergotrochanter,1,648518346492578233
L,Ventral,thorax,extend,extracoxal_trochanter_depressor,Vn,648518346515708666
L,Ventral,thorax,extend,extracoxal_trochanter_depressor,Vn,648518346467061998
L,Leg,coxa,extend,trochanter_extensor,Lg,648518346502537286
L,Leg,coxa,extend,trochanter_extensor,Lg,648518346498089882
L,Accessory,coxa,flex,trochanter_flexor,AcPst,648518346487577002
L,Accessory,coxa,flex,trochanter_flexor,AcPst,648518346514275550
L,Accessory,coxa,flex,trochanter_flexor,Ac,648518346517824616
L,Accessory,coxa,flex,trochanter_flexor,Ac,648518346496812333
L,Accessory,coxa,flex,trochanter_flexor,Ac,648518346479840662
L,Ventral,coxa,flex,trochanter_flexor,Vn,648518346499918803
L,Ventral,coxa,flex,trochanter_flexor,Vn,648518346514277931
L,Ventral,coxa,flex,trochanter_flexor,Vn,648518346488873565
L,Leg,coxa,flex,trochanter_promotor,0,648518346498498324
L,Leg,coxa,flex,trochanter_promotor,0,648518346490899373
L,Leg,coxa,flex,trochanter_promotor,0,648518346489470041
L,Leg,trochanter,reductor,femur_reductor,0,648518346487743188
L,Leg,trochanter,reductor,femur_reductor,0,648518346493238592
L,Leg,trochanter,reductor,femur_reductor,0,648518346496372087
L,Leg,trochanter,reductor,femur_reductor,0,648518346502536518
L,Leg,trochanter,reductor,femur_reductor,0,648518346492338559
L,Leg,trochanter,reductor,femur_reductor,0,648518346494195703
L,Leg,femur,extend,tibia_extensor,seti,648518346495797355
L,Leg,femur,extend,tibia_extensor,feti,648518346493238080
L,Leg,femur,flex,main_tibia_flexor,0,648518346493836024
L,Leg,femur,flex,main_tibia_flexor,0,648518346494269831
L,Leg,femur,flex,main_tibia_flexor,2,648518346494196727
L,Leg,femur,flex,main_tibia_flexor,3,648518346496932836
L,Leg,femur,flex,main_tibia_flexor,4,648518346484809885
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346489731855
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346496059082
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346499176513
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346482926501
L,Leg,femur,flex,auxiliary_tibia_flexor,A1,648518346490901677
L,Leg,femur,flex,auxiliary_tibia_flexor,A1,648518346496057290
L,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346493202674
L,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346479331004
L,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346482925989
L,Leg,femur,flex,auxiliary_tibia_flexor,E,648518346491041571
L,Leg,ltm,claw,ltm,tiny,648518346504867443
L,Leg,ltm,claw,ltm,tiny,648518346484620291
L,Leg,ltm,claw,ltm,small,648518346475434081
L,Leg,ltm,claw,ltm,small,648518346496934372
L,Leg,ltm,claw,ltm,large,648518346493203442
L,Leg,ltm,claw,ltm,large,648518346486902499
L,Leg,ltm,claw,ltm,large,648518346491158561
L,Leg,ltm,claw,ltm,large,648518346515711482
L,Leg,tibia,flex,tarsus_depressor,medial,648518346491158817
L,Leg,tibia,flex,tarsus_depressor,ventralU,648518346486890393
L,Leg,tibia,unknown,tarsus_unidentified,Bslow,648518346486906595
L,Leg,tibia,unknown,tarsus_unidentified,A1,648518346517830760
L,Leg,tibia,unknown,tarsus_unidentified,A2,648518346495467855
L,Leg,tibia,unknown,tarsus_unidentified,E,648518346496852276
