root_id,cell_type,hemibrain_type,side,top_nt
720575940624117245,MBON01,MBON01,right,glutamate
720575940613529770,PAM01,PAM01,left,dopamine
720575940625683716,PAM01,PAM01,left,dopamine
720575940625525265,PAM01,PAM01,left,dopamine
720575940609627403,aMe12,aMe12,left,acetylcholine
720575940615607975,PAM01,PAM01,left,dopamine
720575940645932579,PAM01,PAM01,left,dopamine
720575940606909826,PAM01,PAM01,right,dopamine
720575940625459464,aMe12,aMe12,right,acetylcholine
720575940619785492,PAM01,PAM01,left,dopamine
720575940625352456,PAM01,PAM01,left,dopamine
720575940623442173,PAM01,PAM01,left,dopamine
720575940622495092,PAM01,PAM01,right,dopamine
720575940632489743,aMe12,aMe12,right,acetylcholine
720575940639684696,PAM01,PAM01,right,dopamine
720575940631095087,PAM01,PAM01,left,dopamine
720575940633733401,PAM01,PAM01,left,dopamine
720575940636309093,PAM01,PAM01,right,dopamine
720575940628687207,PAM01,PAM01,left,dopamine
720575940633142498,PAM01,PAM01,right,dopamine
720575940618744118,PAM01,PAM01,left,dopamine
720575940641062901,PAM01,PAM01,left,dopamine
720575940631688808,PAM01,PAM01,left,dopamine
720575940613647007,PAM01,PAM01,right,dopamine
720575940639566406,PAM01,PAM01,left,dopamine
720575940654661281,PAM01,PAM01,right,dopamine
720575940621462512,PAM01,PAM01,right,dopamine
720575940637391582,PAM01,PAM01,right,dopamine
720575940633145996,PAM01,PAM01,left,dopamine
720575940630722956,PAM01,PAM01,left,dopamine
720575940628615683,PAM01,PAM01,left,dopamine
720575940637390302,PAM01,PAM01,right,dopamine
720575940634655851,PAM01,PAM01,right,dopamine
720575940617145561,PAM01,PAM01,right,dopamine
720575940625338249,PAM01,PAM01,left,dopamine
720575940647731252,aMe12,aMe12,right,acetylcholine
720575940631443304,PAM01,PAM01,right,dopamine
720575940640836952,aMe12,aMe12,right,acetylcholine
720575940643309197,MBON01,MBON01,left,glutamate
720575940622446106,aMe12,aMe12,left,acetylcholine
720575940629188507,PAM01,PAM01,left,dopamine
720575940630498811,PAM01,PAM01,right,dopamine
720575940605221065,PAM01,PAM01,right,dopamine
720575940621245124,PAM01,PAM01,left,dopamine
720575940640715392,aMe12,aMe12,left,acetylcholine
720575940649649785,PAM01,PAM01,right,dopamine
720575940626555800,PAM01,PAM01,right,dopamine
720575940630650063,PAM01,PAM01,right,dopamine
720575940630691159,PAM01,PAM01,right,dopamine
