Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,pre_type,post_type,pre_side,post_side
720575940605221065,720575940643309197,1448,132236,5,1,5,PAM01,MBON01,right,left
720575940605221065,720575940624117245,1448,64506,2,1,2,PAM01,MBON01,right,right
720575940606909826,720575940643309197,4002,132236,1,1,1,PAM01,MBON01,right,left
720575940606909826,720575940624117245,4002,64506,1,1,1,PAM01,MBON01,right,right
720575940613529770,720575940643309197,17687,132236,1,1,1,PAM01,MBON01,left,left
720575940613529770,720575940624117245,17687,64506,4,1,4,PAM01,MBON01,left,right
720575940613647007,720575940643309197,18077,132236,1,1,1,PAM01,MBON01,right,left
720575940615607975,720575940643309197,24380,132236,3,1,3,PAM01,MBON01,left,left
720575940615607975,720575940624117245,24380,64506,11,1,11,PAM01,MBON01,left,right
720575940617145561,720575940643309197,29803,132236,5,1,5,PAM01,MBON01,right,left
720575940617145561,720575940624117245,29803,64506,4,1,4,PAM01,MBON01,right,right
720575940618744118,720575940643309197,36389,132236,2,1,2,PAM01,MBON01,left,left
720575940618744118,720575940624117245,36389,64506,12,1,12,PAM01,MBON01,left,right
720575940619785492,720575940624117245,40444,64506,2,1,2,PAM01,MBON01,left,right
720575940621245124,720575940624117245,48104,64506,3,1,3,PAM01,MBON01,left,right
720575940621462512,720575940643309197,49380,132236,7,1,7,PAM01,MBON01,right,left
720575940621462512,720575940624117245,49380,64506,5,1,5,PAM01,MBON01,right,right
720575940622495092,720575940643309197,55382,132236,5,1,5,PAM01,MBON01,right,left
720575940622495092,720575940624117245,55382,64506,4,1,4,PAM01,MBON01,right,right
720575940623442173,720575940624117245,60774,64506,10,1,10,PAM01,MBON01,left,right
720575940625338249,720575940624117245,70962,64506,1,1,1,PAM01,MBON01,left,right
720575940625352456,720575940624117245,71030,64506,1,1,1,PAM01,MBON01,left,right
720575940625525265,720575940643309197,71909,132236,2,1,2,PAM01,MBON01,left,left
720575940625683716,720575940643309197,72658,132236,1,1,1,PAM01,MBON01,left,left
720575940625683716,720575940624117245,72658,64506,5,1,5,PAM01,MBON01,left,right
720575940626555800,720575940643309197,77041,132236,1,1,1,PAM01,MBON01,right,left
720575940626555800,720575940624117245,77041,64506,1,1,1,PAM01,MBON01,right,right
720575940628615683,720575940643309197,89236,132236,3,1,3,PAM01,MBON01,left,left
720575940628615683,720575940624117245,89236,64506,20,1,20,PAM01,MBON01,left,right
720575940628687207,720575940643309197,89629,132236,4,1,4,PAM01,MBON01,left,left
720575940628687207,720575940624117245,89629,64506,13,1,13,PAM01,MBON01,left,right
720575940629188507,720575940624117245,92361,64506,4,1,4,PAM01,MBON01,left,right
720575940630498811,720575940643309197,98936,132236,4,1,4,PAM01,MBON01,right,left
720575940630498811,720575940624117245,98936,64506,1,1,1,PAM01,MBON01,right,right
720575940630650063,720575940643309197,99736,132236,2,1,2,PAM01,MBON01,right,left
720575940630650063,720575940624117245,99736,64506,1,1,1,PAM01,MBON01,right,right
720575940630691159,720575940643309197,99985,132236,1,1,1,PAM01,MBON01,right,left
720575940630691159,720575940624117245,99985,64506,1,1,1,PAM01,MBON01,right,right
720575940630722956,720575940624117245,100174,64506,2,1,2,PAM01,MBON01,left,right
720575940631095087,720575940643309197,102209,132236,2,1,2,PAM01,MBON01,left,left
720575940631095087,720575940624117245,102209,64506,15,1,15,PAM01,MBON01,left,right
720575940631443304,720575940643309197,104001,132236,6,1,6,PAM01,MBON01,right,left
720575940631443304,720575940624117245,104001,64506,4,1,4,PAM01,MBON01,right,right
720575940631688808,720575940643309197,105170,132236,1,1,1,PAM01,MBON01,left,left
720575940631688808,720575940624117245,105170,64506,6,1,6,PAM01,MBON01,left,right
720575940633142498,720575940643309197,111353,132236,3,1,3,PAM01,MBON01,right,left
720575940633142498,720575940624117245,111353,64506,2,1,2,PAM01,MBON01,right,right
720575940633145996,720575940643309197,111362,132236,4,1,4,PAM01,MBON01,left,left
720575940633145996,720575940624117245,111362,64506,6,1,6,PAM01,MBON01,left,right
720575940633733401,720575940643309197,113389,132236,1,1,1,PAM01,MBON01,left,left
720575940633733401,720575940624117245,113389,64506,3,1,3,PAM01,MBON01,left,right
720575940634655851,720575940643309197,115715,132236,7,1,7,PAM01,MBON01,right,left
720575940634655851,720575940624117245,115715,64506,6,1,6,PAM01,MBON01,right,right
720575940636309093,720575940643309197,120025,132236,1,1,1,PAM01,MBON01,right,left
720575940636309093,720575940624117245,120025,64506,1,1,1,PAM01,MBON01,right,right
720575940637390302,720575940643309197,122398,132236,5,1,5,PAM01,MBON01,right,left
