Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,pre_type,post_type,pre_side,post_side
720575940605822176,720575940647731252,2295,136042,2,1,2,R8,aMe12,right,right
720575940606095532,720575940625459464,2763,71564,1,-1,-1,R7,aMe12,right,right
720575940606247456,720575940640715392,2996,129836,1,1,1,R7,aMe12,left,left
720575940606247456,720575940622446106,2996,55108,1,1,1,R7,aMe12,left,left
720575940606367166,720575940647731252,3132,136042,3,-1,-3,R7,aMe12,right,right
720575940606447793,720575940625459464,3243,71564,4,-1,-4,R7,aMe12,right,right
720575940606447793,720575940647731252,3243,136042,2,-1,-2,R7,aMe12,right,right
720575940606495422,720575940647731252,3318,136042,4,-1,-4,R7,aMe12,right,right
720575940606495422,720575940640836952,3318,130075,2,-1,-2,R7,aMe12,right,right
720575940606554912,720575940640715392,3420,129836,1,-1,-1,R8,aMe12,left,left
720575940606627761,720575940609627403,3542,7753,4,1,4,R7,aMe12,left,left
720575940606744766,720575940640715392,3787,129836,1,1,1,R8,aMe12,left,left
720575940606814897,720575940647731252,3901,136042,1,-1,-1,R7,aMe12,right,right
720575940607039529,720575940609627403,4167,7753,1,1,1,R8,aMe12,left,left
720575940607438466,720575940640715392,4675,129836,1,-1,-1,R7,aMe12,left,left
720575940607438466,720575940609627403,4675,7753,2,-1,-2,R7,aMe12,left,left
720575940607667657,720575940622446106,4936,55108,1,1,1,R7,aMe12,left,left
720575940607722185,720575940609627403,5001,7753,3,1,3,R7,aMe12,left,left
720575940607806642,720575940609627403,5094,7753,1,-1,-1,R7,aMe12,left,left
720575940608148098,720575940609627403,5570,7753,8,1,8,R8,aMe12,left,left
720575940609197321,720575940622446106,7024,55108,3,-1,-3,R7,aMe12,left,left
720575940609198684,720575940632489743,7025,108712,1,-1,-1,R8,aMe12,right,right
720575940609289227,720575940640836952,7191,130075,1,1,1,R7,aMe12,right,right
720575940609566985,720575940632489743,7660,108712,1,1,1,R7,aMe12,right,right
720575940609598473,720575940609627403,7710,7753,1,1,1,R8,aMe12,left,left
720575940609692683,720575940609627403,7857,7753,4,1,4,R8,aMe12,left,left
720575940610840782,720575940625459464,9974,71564,3,1,3,R8,aMe12,right,right
720575940610840782,720575940647731252,9974,136042,2,1,2,R8,aMe12,right,right
720575940611414062,720575940609627403,11245,7753,1,1,1,R8,aMe12,left,left
720575940611473272,720575940632489743,11389,108712,1,1,1,R8,aMe12,right,right
720575940611473454,720575940640715392,11392,129836,1,-1,-1,R8,aMe12,left,left
720575940612412110,720575940640836952,14001,130075,1,1,1,R8,aMe12,right,right
720575940612598165,720575940625459464,14611,71564,3,-1,-3,R7,aMe12,right,right
720575940612696282,720575940625459464,14935,71564,1,1,1,R8,aMe12,right,right
720575940612702577,720575940640836952,14959,130075,2,-1,-2,R8,aMe12,right,right
720575940612757722,720575940609627403,15136,7753,5,1,5,R8,aMe12,left,left
720575940612768369,720575940632489743,15175,108712,1,1,1,R8,aMe12,right,right
720575940612853234,720575940609627403,15449,7753,1,-1,-1,R7,aMe12,left,left
720575940612853234,720575940622446106,15449,55108,1,-1,-1,R7,aMe12,left,left
720575940613128345,720575940640836952,16425,130075,1,-1,-1,R7,aMe12,right,right
720575940613129701,720575940622446106,16427,55108,1,-1,-1,R7,aMe12,left,left
720575940613161386,720575940640836952,16541,130075,1,-1,-1,R7,aMe12,right,right
720575940613242597,720575940640836952,16775,130075,2,1,2,R7,aMe12,right,right
720575940613439129,720575940622446106,17367,55108,1,1,1,R7,aMe12,left,left
720575940613441433,720575940609627403,17381,7753,1,1,1,R8,aMe12,left,left
720575940613467158,720575940625459464,17454,71564,3,1,3,R7,aMe12,right,right
720575940613509524,720575940622446106,17609,55108,2,-1,-2,R7,aMe12,left,left
720575940613579178,720575940640836952,17822,130075,1,1,1,R7,aMe12,right,right
720575940613619865,720575940647731252,17972,136042,3,-1,-3,R7,aMe12,right,right
720575940613707798,720575940609627403,18266,7753,1,1,1,R7,aMe12,left,left
