Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,pre_type,post_type,pre_side,post_side
720575940602829536,720575940624117245,84,64506,1,1,1,KCg-d,MBON01,left,right
720575940603045804,720575940643309197,112,132236,1,1,1,KCg-d,MBON01,right,left
720575940604249790,720575940624117245,556,64506,1,1,1,KCg-d,MBON01,left,right
720575940604497888,720575940624117245,701,64506,3,1,3,KCg-d,MBON01,left,right
720575940605199305,720575940624117245,1431,64506,3,1,3,KCg-d,MBON01,left,right
720575940605550950,720575940643309197,1862,132236,3,1,3,KCg-d,MBON01,right,left
720575940605792946,720575940643309197,2236,132236,1,1,1,KCg-d,MBON01,right,left
720575940605829297,720575940624117245,2313,64506,12,1,12,KCg-d,MBON01,left,right
720575940606683915,720575940624117245,3671,64506,2,1,2,KCg-d,MBON01,left,right
720575940606691932,720575940624117245,3685,64506,2,1,2,KCg-d,MBON01,left,right
720575940606929419,720575940624117245,4033,64506,5,1,5,KCg-d,MBON01,left,right
720575940607348931,720575940643309197,4574,132236,2,1,2,KCg-d,MBON01,right,left
720575940607520451,720575940624117245,4778,64506,1,1,1,KCg-d,MBON01,left,right
720575940607623875,720575940624117245,4885,64506,3,1,3,KCg-d,MBON01,left,right
720575940607983369,720575940624117245,5357,64506,4,1,4,KCg-d,MBON01,left,right
720575940608126386,720575940624117245,5544,64506,4,1,4,KCg-d,MBON01,left,right
720575940608312533,720575940643309197,5817,132236,2,1,2,KCg-d,MBON01,right,left
720575940608399115,720575940624117245,5968,64506,3,1,3,KCg-d,MBON01,left,right
720575940608413193,720575940624117245,5992,64506,3,1,3,KCg-d,MBON01,left,right
720575940609132642,720575940643309197,6928,132236,2,1,2,KCg-d,MBON01,right,left
720575940609169762,720575940643309197,6981,132236,5,1,5,KCg-d,MBON01,right,left
720575940609555922,720575940624117245,7648,64506,6,1,6,KCg-d,MBON01,left,right
720575940610370201,720575940643309197,9028,132236,2,1,2,KCg-d,MBON01,right,left
720575940610391854,720575940624117245,9073,64506,2,1,2,KCg-d,MBON01,left,right
720575940610505426,720575940643309197,9315,132236,5,1,5,KCg-d,MBON01,right,left
720575940610709106,720575940643309197,9717,132236,1,1,1,KCg-d,MBON01,right,left
720575940611336726,720575940624117245,11059,64506,2,1,2,KCg-d,MBON01,left,right
720575940611682739,720575940643309197,11968,132236,2,1,2,KCg-d,MBON01,right,left
720575940611930265,720575940624117245,12620,64506,1,1,1,KCg-d,MBON01,left,right
720575940612524030,720575940643309197,14368,132236,2,1,2,KCg-d,MBON01,right,left
720575940612980990,720575940624117245,15946,64506,2,1,2,KCg-d,MBON01,left,right
720575940613294016,720575940624117245,16929,64506,2,1,2,KCg-d,MBON01,left,right
720575940613358658,720575940643309197,17101,132236,3,1,3,KCg-d,MBON01,right,left
720575940613729576,720575940624117245,18321,64506,2,1,2,KCg-d,MBON01,left,right
720575940613797295,720575940643309197,18526,132236,1,1,1,KCg-d,MBON01,right,left
720575940613824012,720575940643309197,18600,132236,3,1,3,KCg-d,MBON01,right,left
720575940613863903,720575940624117245,18699,64506,4,1,4,KCg-d,MBON01,left,right
720575940613955039,720575940624117245,18921,64506,6,1,6,KCg-d,MBON01,left,right
720575940614281214,720575940624117245,19844,64506,3,1,3,KCg-d,MBON01,left,right
720575940614311842,720575940643309197,19965,132236,1,1,1,KCg-d,MBON01,right,left
720575940614813526,720575940643309197,21692,132236,1,1,1,KCg-d,MBON01,right,left
720575940615332674,720575940624117245,23468,64506,5,1,5,KCg-d,MBON01,left,right
720575940615543995,720575940624117245,24198,64506,6,1,6,KCg-d,MBON01,left,right
720575940615544249,720575940643309197,24199,132236,1,1,1,KCg-d,MBON01,right,left
720575940615608123,720575940643309197,24381,132236,1,1,1,KCg-d,MBON01,right,left
720575940615713292,720575940624117245,24752,64506,4,1,4,KCg-d,MBON01,left,right
720575940615783837,720575940643309197,24995,132236,1,1,1,KCg-d,MBON01,right,left
720575940616284955,720575940624117245,26742,64506,3,1,3,KCg-d,MBON01,left,right
720575940616295069,720575940624117245,26779,64506,1,1,1,KCg-d,MBON01,left,right
720575940616305181,720575940624117245,26833,64506,2,1,2,KCg-d,MBON01,left,right
720575940616442369,720575940624117245,27318,64506,3,1,3,KCg-d,MBON01,left,right
720575940616460322,720575940624117245,27368,64506,2,1,2,KCg-d,MBON01,left,right
720575940616885298,720575940643309197,28824,132236,1,1,1,KCg-d,MBON01,right,left
720575940616902213,720575940624117245,28897,64506,2,1,2,KCg-d,MBON01,left,right
720575940617036729,720575940643309197,29430,132236,3,1,3,KCg-d,MBON01,right,left
720575940617150878,720575940624117245,29821,64506,1,1,1,KCg-d,MBON01,left,right
720575940617201501,720575940624117245,29987,64506,1,1,1,KCg-d,MBON01,left,right
720575940617266833,720575940624117245,30209,64506,6,1,6,KCg-d,MBON01,left,right
720575940617293268,720575940643309197,30306,132236,1,1,1,KCg-d,MBON01,right,left
720575940617503974,720575940624117245,31140,64506,2,1,2,KCg-d,MBON01,left,right
720575940617576422,720575940643309197,31408,132236,2,1,2,KCg-d,MBON01,right,left
720575940617672139,720575940643309197,31801,132236,1,1,1,KCg-d,MBON01,right,left
