root_id,cell_type,side,pos_x,pos_y,pos_z,top_nt
720575940606648608,,left,87211.0,45049.0,3598.0,dopamine
720575940609627403,aMe12,left,81536.0,61376.0,3051.0,acetylcholine
720575940611405102,MTe46,left,86296.0,68088.0,3356.0,acetylcholine
720575940611532408,LTe16,right,165584.0,58496.0,5111.0,acetylcholine
720575940612925146,MTe40,right,178272.0,60872.0,3280.0,acetylcholine
720575940614465517,MTe35,right,176056.0,69960.0,2492.0,acetylcholine
720575940614754797,MTe12,right,180215.0,60963.0,2866.0,acetylcholine
720575940615028143,LT79,right,181696.0,42608.0,4090.0,acetylcholine
720575940615149836,aMe20,left,87032.0,66680.0,3474.0,acetylcholine
720575940615212851,MTe33,right,176184.0,70392.0,2255.0,acetylcholine
720575940616992454,LTe55,left,91336.0,43336.0,5292.0,acetylcholine
720575940617101580,LTe06,left,81424.0,40840.0,5439.0,acetylcholine
720575940617883003,LT75,left,100360.0,52944.0,5667.0,acetylcholine
720575940619017387,MTe12,left,83272.0,58296.0,4001.0,acetylcholine
720575940619296325,MTe12,right,181904.0,53008.0,2974.0,acetylcholine
720575940620233966,LTe41,left,89946.0,48771.0,4735.0,acetylcholine
720575940620720088,MTe26,right,178904.0,66864.0,2129.0,acetylcholine
720575940620826571,LTe30,right,167515.0,53502.0,4483.0,acetylcholine
720575940621570496,MeMe_e05,right,179456.0,65736.0,2154.0,glutamate
720575940621673852,LTe51,right,169897.0,49554.0,4114.0,acetylcholine
720575940621806574,LTe42a,left,90438.0,47415.0,4685.0,acetylcholine
720575940622227213,aMe20,right,173856.0,70384.0,2703.0,acetylcholine
720575940622446106,aMe12,left,83588.0,62573.0,3857.0,acetylcholine
720575940622891242,LTe02,left,81232.0,40312.0,5407.0,acetylcholine
720575940623139610,MTe33,left,81512.0,62416.0,3168.0,acetylcholine
720575940624611405,LTe40,left,87712.0,39928.0,5288.0,acetylcholine
720575940624677303,LTe51,left,79896.0,37000.0,4657.0,acetylcholine
720575940625459464,aMe12,right,180449.0,60961.0,2865.0,acetylcholine
720575940626497286,MTe28,right,175776.0,68624.0,2154.0,acetylcholine
720575940626949834,LTe40,right,167966.0,45197.0,4814.0,acetylcholine
720575940628804424,MTe54,left,86664.0,72936.0,3768.0,acetylcholine
720575940628913404,MTe12,left,69619.0,68909.0,4352.0,acetylcholine
720575940629259831,LTe06,right,167595.0,52500.0,4524.0,acetylcholine
720575940630737516,MTe40,left,84276.0,76549.0,3769.0,acetylcholine
720575940631023159,LTe26,right,175400.0,64256.0,5910.0,acetylcholine
720575940631098172,LT67,right,167779.0,52466.0,4484.0,acetylcholine
720575940631706105,MTe32,left,82264.0,61872.0,3333.0,acetylcholine
720575940632171535,aMe5,right,178520.0,66648.0,2494.0,acetylcholine
720575940632404555,MTe35,left,81520.0,63952.0,3283.0,acetylcholine
720575940632423439,MTe53,left,92896.0,77272.0,3635.0,acetylcholine
720575940632489743,aMe12,right,180192.0,64800.0,2342.0,acetylcholine
720575940632707944,MTe28,left,81448.0,60328.0,2848.0,acetylcholine
720575940632891788,MTe12,right,176848.0,64720.0,3169.0,acetylcholine
720575940633183628,LT57,left,87899.0,45166.0,3598.0,acetylcholine
720575940635169888,LT67,left,86336.0,42128.0,4904.0,acetylcholine
720575940635359127,LT75,right,162304.0,56600.0,5324.0,acetylcholine
720575940635489387,LTe16,left,95848.0,52928.0,5569.0,acetylcholine
720575940635960255,MTe34,left,81576.0,63592.0,3121.0,acetylcholine
720575940635974335,MTe38,right,176552.0,68784.0,2472.0,acetylcholine
720575940636036532,LTe42b,left,92291.0,66945.0,4242.0,acetylcholine
720575940638892351,MTe32,right,176968.0,69048.0,2313.0,acetylcholine
720575940639910515,LTe58,right,167691.0,52522.0,4524.0,acetylcholine
720575940639948733,MTe34,right,176904.0,70456.0,2422.0,acetylcholine
720575940640438643,MTe12,left,81208.0,58864.0,3525.0,acetylcholine
720575940640715392,aMe12,left,82684.0,65327.0,3714.0,acetylcholine
720575940640836952,aMe12,right,177394.0,66943.0,2962.0,acetylcholine
720575940641285005,LTe25,right,159960.0,77112.0,3838.0,acetylcholine
720575940641791989,aMe9,right,171088.0,72480.0,2624.0,acetylcholine
720575940642592475,aMe9,right,170336.0,75408.0,2575.0,acetylcholine
720575940642602203,MTe38,left,81888.0,59656.0,3573.0,acetylcholine
720575940645913367,LTe25,left,92600.0,71144.0,3758.0,acetylcholine
720575940647731252,aMe12,right,180500.0,60829.0,2865.0,acetylcholine
