pre_type,post_type,Connectivity
Tm5b,MTe35,3042
Mi15,MeMe_e05,1537
Mi15,aMe19b,1465
Mi15,MTe12,1363
Tm20,MTe34,1236
Tm5a,MTe32,1196
Mi15,aMe5,1073
L5,MTe07,905
TmY4,LT75,875
Mi10,MeMe_e05,838
TmY5a,MTe33,677
Mi15,aMe9,657
Mi4,MTe46,636
Tm20,LT79,610
Mi10,MTe07,572
T2a,LT79,567
Mi10,aMe12,547
R7,aMe12,510
Tm5c,MTe35,489
Tm20,LTe76,446
R8,aMe12,423
TmY10,LTe54,409
Mi10,aMe5,399
Tm20,LCe01b,358
Tm20,LTe06,352
Tm5c,MTe32,337
Tm5a,LTe06,297
TmY4,LTe57,289
Tm5b,aMe5,287
Tm5c,MTe40,287
Tm5c,MTe33,273
TmY10,LTe51,270
Tm16,MTe34,270
TmY10,OA-AL2b1,268
Mi15,MeMe_e06,260
Tm5c,MeMe_e05,254
Tm5c,aMe5,245
TmY4,LTe37,224
Tm4,MTe46,222
Mi10,MeMe_e06,219
Tm16,aMe20,216
Tm3,MTe53,209
Mi4,MTe53,209
Mi4,aMe17c,206
TmY5a,LT57,205
TmY5a,LT75,205
TmY10,LTe06,203
TmY5a,MTe54,200
Mi10,MTe04,198
Tm5c,MeMe_e06,181
TmY5a,LTe40,175
Mi9,aMe5,172
Mi15,aMe12,165
TmY5a,LTe42b,159
TmY5a,MTe53,158
Mi10,aMe19b,155
Mi10,aMe19a,155
Tm5c,MTe09,155
L3,MTe07,152
TmY10,LTe25,152
L3,cM09,151
Tm5c,aMe12,151
Tm16,LTe51,149
Tm5b,LTe76,149
Tm5b,MTe33,144
Tm5a,MTe33,143
TmY3,MTe53,141
Tm5c,MTe12,139
TmY5a,LTe36,138
TmY5a,LTe45,136
Tm16,MTe46,135
Tm5a,LTe30,129
TmY5a,LTe26,129
TmY5a,LTe16,125
TmY10,cL10,124
TmY10,MTe14,123
Mi15,MTe35,121
Tm16,LTe54,121
TmY5a,LTe58,119
TmY5a,MTe34,118
Tm20,LTe30,118
Mi15,MTe26,118
TmY5a,LC37,114
Mi10,MTe38,114
Mi9,MeMe_e05,113
TmY10,LTe57,111
T2a,MTe45,110
Tm5a,LT67,110
TmY10,MTe26,109
TmY5a,LTe41,107
TmY5a,LTe57,107
Mi15,aMe19a,107
TmY10,LTe30,106
Tm4,MTe53,105
Tm5c,MTe53,105
Mi15,MTe04,103
Tm5b,LTe16,102
Tm5a,MTe30,100
TmY5a,LTe24,98
Mi9,MTe04,95
TmY5a,LTe30,94
TmY10,LTe02,94
Mi10,MTe35,93
TmY5a,LTe25,93
Tm20,LTe26,93
Tm5a,LCe01b,91
Mi15,MTe31,91
TmY10,LTe58,90
TmY10,LT43,89
Tm5a,LTe26,87
Tm5c,MTe04,86
Tm5b,LTe25,86
Tm16,LTe42b,85
Tm20,LT67,84
Tm16,LT43,83
Tm5b,MTe38,81
Tm4,MTe28,81
C3,LPT54,81
Tm5c,aMe9,78
TmY5a,OA-AL2b1,77
TmY4,cLLP02,76
TmY5a,LCe01b,74
TmY5a,cLLP02,71
TmY5a,MTe32,71
Tm20,MTe33,71
Mi4,MTe54,70
TmY5a,MTe35,70
Tm20,LC37,70
TmY4,LTe45,67
Tm16,LTe06,66
TmY10,LTe45,66
Tm5c,aMe19b,66
TmY10,aMe20,66
Tm5a,LC37,66
TmY5a,MTe22,63
Tm5b,LT79,63
TmY5a,LTe28,62
Mi4,MTe04,62
Tm20,aMe5,60
Tm5a,LT79,60
Tm5c,LTe26,60
L5,MTe31,59
Mi10,MTe12,59
Tm4,MTe31,59
TmY5a,LTe76,57
TmY10,LTe33,57
Tm3,MTe31,57
Mi10,MTe31,56
TmY5a,LTe62,56
Tm5b,LTe26,56
TmY10,LTe48,54
Tm16,LTe16,54
TmY3,LTe55,51
Tm5c,LTe06,51
Tm16,LTe42a,51
Tm5b,LTe55,51
TmY5a,LTe05,51
TmY4,LTe30,50
TmY5a,LPT54,49
TmY5a,LTe06,48
Tm5c,LT67,48
TmY5a,LTe02,48
Mi9,MTe53,48
TmY4,MTe53,47
Mi15,MTe07,47
TmY4,LTe35,47
Tm20,MTe35,47
TmY5a,MTe49,47
TmY10,LC37,47
R7,MTe25,46
TmY10,LTe50,46
TmY4,LTe58,46
Tm16,MTe28,46
Tm20,LC28c,45
Tm5a,LTe58,44
Tm5b,MTe22,44
TmY5a,MTe38,44
TmY5a,aMe20,43
TmY5a,aMe5,43
Mi1,MTe07,42
Tm5b,LT67,41
Tm5c,LTe37,41
Tm20,LTe58,40
Tm5b,MTe07,40
TmY4,LTe06,40
Tm16,DNp27,39
TmY10,MTe46,39
TmY10,LTe76,38
Mi10,MTe40,38
Tm5c,LTe42b,38
Mi15,aMe26,38
T2a,MTe26,38
Tm5b,MTe04,37
Tm5c,LTe58,37
Mi10,MTe22,37
Mi10,aMe10,37
TmY10,LC28c,37
Mi15,MTe40,37
Tm20,LTe25,36
Mi1,MTe53,36
Tm5b,MTe32,35
Tm5c,LT75,34
Tm5c,MTe22,34
TmY5a,LC40,34
Tm16,OA-AL2b1,33
Mi4,aMe5,33
TmY10,LT57,32
Mi15,MTe33,32
C3,MTe34,32
TmY10,LC28b,32
Tm5c,aMe10,32
TmY10,cLLP02,32
Tm5c,MTe26,31
TmY5a,MTe45,31
TmY10,LTe42a,31
TmY5a,LTe23,31
L3,aMe12,30
Tm16,PLP251,30
Tm5a,LTe57,30
TmY5a,LTe55,29
