pre_type,pre_class,in_current_subnet,connections,synapses,source_neurons,target_kcs
KCg-d,Kenyon_Cell,True,7516,9826,295,295
APL,MBIN,True,295,3828,2,295
KCg-m,Kenyon_Cell,True,3251,3614,1171,294
aMe12,,False,302,2511,7,168
MTe32,,False,70,1353,2,70
MTe30,,False,72,1119,2,72
LTe25,,False,65,962,2,65
PLP095,,False,60,759,2,60
PAM08,DAN,True,632,738,40,259
MTe40,,False,72,734,2,72
aMe20,,False,40,726,2,40
CL258,,False,46,561,4,46
AVLP043,,False,51,560,4,40
CL063,,False,199,529,2,199
LTe16,,False,23,468,2,23
LTe02,,False,38,440,4,34
PPL103,DAN,True,264,432,2,186
MTe38,,False,39,399,2,39
PAM01,DAN,True,366,395,33,200
LHPV3c1,,False,38,384,2,38
"PLP120,PLP145",,False,58,376,4,54
PLP251,,False,17,352,2,17
DPM,MBIN,False,159,260,2,159
PAM07,DAN,True,223,251,15,163
PLP231,,False,36,250,4,35
PAM12,DAN,True,231,245,22,155
LTe51,,False,34,240,2,34
MTe28,,False,13,231,2,13
LTe40,,False,19,226,2,19
KCg-s2,Kenyon_Cell,True,121,200,2,121
MTe35,,False,11,192,2,11
VP3+VP1l_ivPN,ALPN,True,12,189,2,11
LTe04,,False,14,173,2,14
MTe26,,False,24,170,2,24
LTe73,,False,8,170,2,8
VM1_lPN,ALPN,True,9,152,3,9
MTe22,,False,14,142,2,14
MTe12,,False,31,135,6,27
PVLP009,,False,12,132,4,12
KCg-s1,Kenyon_Cell,True,87,131,2,87
,,False,94,127,3,93
aMe26,,False,26,127,5,25
PPL101,DAN,True,112,125,2,95
MTe34,,False,9,114,2,9
DC3_adPN,ALPN,True,7,114,5,7
LTe50,,False,69,107,4,60
aMe9,,False,21,102,4,18
MBON09,MBON,True,82,97,4,75
OA-AL2b1,,False,71,91,2,69
LT75,,False,6,88,2,6
VP1d_il2PN,ALPN,True,7,79,2,6
PLP131,,False,54,78,2,54
CL200,,False,13,78,2,13
VP1m+VP5_ilPN,ALPN,True,7,75,2,5
MTe04,,False,57,73,13,47
VA1d_adPN,ALPN,True,4,72,3,4
PLP005,,False,6,67,2,6
LT67,,False,7,62,2,7
MB-C1,,False,26,60,4,21
AVLP041,,False,7,60,2,7
MBON05,MBON,True,47,55,2,47
